Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group
KEGG_2021_Human,Proteoglycans in cancer,1/205,0.6440121337651465,0.6753182791565079,0,0,0.975242622301446,0.4291435319722849,PRKCB,0
KEGG_2021_Human,Olfactory transduction,2/440,0.6494075016705154,0.6762795362223989,0,0,0.9068120398844468,0.3914661035734865,GRK3;SLC8A1,0
KEGG_2021_Human,Thermogenesis,1/232,0.6895374384771322,0.7083003619731086,0,0,0.8600725873453147,0.3197184684889406,PRKAG2,0
KEGG_2021_Human,Coronavirus disease,1/232,0.6895374384771322,0.7083003619731086,0,0,0.8600725873453147,0.3197184684889406,PRKCB,0
KEGG_2021_Human,MAPK signaling pathway,1/294,0.7734097128643826,0.7849563320109744,0,0,0.6759402902747612,0.173680384477407,PRKCB,0
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.7745595594015575,0.7849563320109744,0,0,0.6736068164639594,0.1720800834274138,CSF3R,0
KEGG_2021_Human,Human papillomavirus infection,1/331,0.8123207794376563,0.817736251300574,0,0,0.5990205081114172,0.1245123838049599,MAML3,0
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.920169299924047,0.920169299924047,0,0,0.3943458732191126,0.0328086318828716,JAK2,0
Reactome_2022,Signaling By CSF3 (G-CSF) R-HSA-9674555,3/30,0.00044640250260442,0.0626889641267976,0,0,22.764032073310425,175.60833452775756,CSF3R;GAB2;JAK2,0
Reactome_2022,Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,5/136,0.0006061639128737695,0.0626889641267976,0,0,7.942547207713941,58.84125002597915,DOCK8;JMJD1C;JAK2;DOCK2;PHF21A,0
Reactome_2022,Fatty Acids Bound To GPR40 (FFAR1) Regulate Insulin Secretion R-HSA-434316,2/8,0.0006795551666861537,0.0626889641267976,0,0,67.66666666666667,493.5655481733249,GNAQ;PLCB1,0
Reactome_2022,Nef And Signal Transduction R-HSA-164944,2/8,0.0006795551666861537,0.0626889641267976,0,0,67.66666666666667,493.5655481733249,ELMO1;DOCK2,0
Reactome_2022,Acetylcholine Regulates Insulin Secretion R-HSA-399997,2/10,0.0010850384206118,0.0633649910404474,0,0,50.74489795918368,346.39177176286466,GNAQ;PLCB1,0
